epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,9657.11,0.65142,0.32353,0.85941,0.91796,0.90442,0.93086,0.60232,1.20215,0.49866,1.18052,0.0041392,0.0041392,0.0041392
150,9720.71,0.64719,0.32315,0.8596,0.91504,0.90432,0.93158,0.6049,1.20087,0.49985,1.17883,0.0040996,0.0040996,0.0040996
151,9784.52,0.64207,0.32204,0.85692,0.92187,0.89712,0.93047,0.60217,1.20389,0.49929,1.18081,0.00406,0.00406,0.00406
152,9847.99,0.63879,0.32057,0.85757,0.91466,0.89798,0.92877,0.60453,1.20114,0.49876,1.17946,0.0040204,0.0040204,0.0040204
153,9912.15,0.63883,0.31954,0.85352,0.91027,0.90645,0.92954,0.60244,1.20162,0.49828,1.18178,0.0039808,0.0039808,0.0039808
154,9975.48,0.63356,0.31679,0.85573,0.91988,0.90784,0.93091,0.60377,1.20231,0.49746,1.18191,0.0039412,0.0039412,0.0039412
155,10039.5,0.63651,0.31926,0.85694,0.91028,0.90703,0.92925,0.60018,1.20455,0.49834,1.18457,0.0039016,0.0039016,0.0039016
156,10102.9,0.6321,0.31721,0.8538,0.90937,0.91202,0.92759,0.6,1.20077,0.49909,1.18189,0.003862,0.003862,0.003862
157,10166.9,0.63058,0.31723,0.85356,0.90983,0.91122,0.9272,0.60085,1.20113,0.49987,1.18229,0.0038224,0.0038224,0.0038224
158,10230.4,0.62849,0.31589,0.8545,0.90517,0.91312,0.9285,0.6024,1.20127,0.49777,1.18211,0.0037828,0.0037828,0.0037828
159,10294.1,0.62481,0.31364,0.85385,0.91119,0.91257,0.92944,0.60147,1.2016,0.49671,1.18341,0.0037432,0.0037432,0.0037432
160,10357.8,0.62183,0.3125,0.85382,0.91624,0.90516,0.93076,0.60252,1.20111,0.49866,1.18336,0.0037036,0.0037036,0.0037036
161,10422,0.61439,0.31013,0.85067,0.91057,0.91144,0.93053,0.6036,1.20282,0.49774,1.18454,0.003664,0.003664,0.003664
162,10485.7,0.61921,0.31232,0.8519,0.90808,0.91086,0.93113,0.60348,1.20333,0.49796,1.18573,0.0036244,0.0036244,0.0036244
163,10549.9,0.61356,0.30975,0.85198,0.90772,0.90921,0.92879,0.60302,1.20325,0.49772,1.18675,0.0035848,0.0035848,0.0035848
164,10613.6,0.61069,0.31028,0.85071,0.91073,0.90471,0.92949,0.60052,1.20374,0.49813,1.18896,0.0035452,0.0035452,0.0035452
165,10677.4,0.61384,0.31083,0.85071,0.91207,0.90869,0.92823,0.6031,1.203,0.49819,1.18911,0.0035056,0.0035056,0.0035056
166,10741.6,0.60687,0.30746,0.85048,0.90828,0.90358,0.92791,0.60224,1.20173,0.49818,1.18919,0.003466,0.003466,0.003466
167,10805.9,0.60507,0.30638,0.84703,0.90393,0.9053,0.92879,0.60335,1.20221,0.49867,1.18992,0.0034264,0.0034264,0.0034264
168,10869.3,0.60093,0.30477,0.84711,0.89831,0.9127,0.92997,0.6033,1.20224,0.49941,1.18946,0.0033868,0.0033868,0.0033868
169,10933.3,0.59813,0.30513,0.84761,0.91276,0.90391,0.92977,0.60421,1.20156,0.49916,1.18998,0.0033472,0.0033472,0.0033472
170,10997.1,0.60078,0.30515,0.84835,0.90797,0.90842,0.92973,0.60481,1.20174,0.49737,1.19082,0.0033076,0.0033076,0.0033076
171,11060.6,0.60006,0.30416,0.84855,0.90861,0.90336,0.92884,0.60321,1.20105,0.49649,1.19189,0.003268,0.003268,0.003268
172,11124.4,0.59703,0.30398,0.84763,0.9041,0.90539,0.92868,0.60311,1.2005,0.497,1.19136,0.0032284,0.0032284,0.0032284
173,11188,0.59508,0.30394,0.8472,0.91018,0.90529,0.92959,0.60442,1.20022,0.49827,1.19143,0.0031888,0.0031888,0.0031888
174,11251.7,0.58684,0.29928,0.84524,0.9151,0.90494,0.93067,0.60297,1.20217,0.49886,1.19239,0.0031492,0.0031492,0.0031492
175,11315.1,0.59104,0.30132,0.84663,0.90246,0.9144,0.93056,0.60279,1.20242,0.49893,1.19243,0.0031096,0.0031096,0.0031096
176,11379.5,0.58891,0.30129,0.84757,0.90664,0.91668,0.93124,0.60272,1.20214,0.49888,1.19279,0.00307,0.00307,0.00307
177,11444.2,0.58428,0.29937,0.84338,0.90777,0.91576,0.93164,0.6039,1.20113,0.49894,1.19298,0.0030304,0.0030304,0.0030304
178,11508.3,0.58053,0.29737,0.84508,0.91266,0.91172,0.93015,0.60514,1.20225,0.49936,1.19459,0.0029908,0.0029908,0.0029908
179,11573.6,0.57939,0.29736,0.84308,0.90464,0.91294,0.92758,0.60361,1.2036,0.49716,1.19691,0.0029512,0.0029512,0.0029512
